Old_Index,Listings_Title,Neighbourhood,Fulldescription,Listing_ID,Pets,Smoking,Tenant_Parking,Year_Built,Landlord_On_Rentfaster_Since,Building_features,Property_features,Community_features,Utilities_info,Listing_Type,Sq_Feet,Furnishing,Baths,Beds,Rent_Monthly
0,VISTA PHASE 1,Skyview,"Join Us for Our Virtual Open House on Monday at 2:00 PM MST
Contact us for your invite and to learn about our limited time promotions!
 Vista I is our newest apartment complex in Skyview Ranch, Calgary. These apartments are just a 5 minute drive from the YYC International Airport and are perfect for those having to commute to Airdrie, the NE, and outside of Calgary. Vista offers 1 and 2 bedrooms suites.
 Each unit has in-suite laundry, dishwashers, microwaves, stainless steel appliances, air-conditioning, storage, window coverings, and laminate flooring. The buildings include elevators, underground parking, bicycle storage, maintenance stations, and are pet-friendly. Vista is managed with on-site professional staff whose core focus is making sure your home is safe and comfortable. Be the first to live in these brand new buildings and experience all the amenities first hand! EV chargers are available upon request.
Contact our leasing team at 403-615-7468 to schedule a viewing!
    

Location Details
     ",430647,1,0,1,-1,-1,2.0,7.0,9.0,2.0,Apartment,873,0, 1 ,2 ,1433
0,VISTA PHASE 1,Skyview,"Join Us for Our Virtual Open House on Monday at 2:00 PM MST
Contact us for your invite and to learn about our limited time promotions!
 Vista I is our newest apartment complex in Skyview Ranch, Calgary. These apartments are just a 5 minute drive from the YYC International Airport and are perfect for those having to commute to Airdrie, the NE, and outside of Calgary. Vista offers 1 and 2 bedrooms suites.
 Each unit has in-suite laundry, dishwashers, microwaves, stainless steel appliances, air-conditioning, storage, window coverings, and laminate flooring. The buildings include elevators, underground parking, bicycle storage, maintenance stations, and are pet-friendly. Vista is managed with on-site professional staff whose core focus is making sure your home is safe and comfortable. Be the first to live in these brand new buildings and experience all the amenities first hand! EV chargers are available upon request.
Contact our leasing team at 403-615-7468 to schedule a viewing!
    

Location Details
     ",430647,1,0,1,-1,-1,2.0,7.0,9.0,2.0,Apartment,1015,0, 2 ,2 ,1499
0,VISTA PHASE 1,Skyview,"Join Us for Our Virtual Open House on Monday at 2:00 PM MST
Contact us for your invite and to learn about our limited time promotions!
 Vista I is our newest apartment complex in Skyview Ranch, Calgary. These apartments are just a 5 minute drive from the YYC International Airport and are perfect for those having to commute to Airdrie, the NE, and outside of Calgary. Vista offers 1 and 2 bedrooms suites.
 Each unit has in-suite laundry, dishwashers, microwaves, stainless steel appliances, air-conditioning, storage, window coverings, and laminate flooring. The buildings include elevators, underground parking, bicycle storage, maintenance stations, and are pet-friendly. Vista is managed with on-site professional staff whose core focus is making sure your home is safe and comfortable. Be the first to live in these brand new buildings and experience all the amenities first hand! EV chargers are available upon request.
Contact our leasing team at 403-615-7468 to schedule a viewing!
    

Location Details
     ",430647,1,0,1,-1,-1,2.0,7.0,9.0,2.0,Apartment,946,0, 2 ,1 ,1348
0,VISTA PHASE 1,Skyview,"Join Us for Our Virtual Open House on Monday at 2:00 PM MST
Contact us for your invite and to learn about our limited time promotions!
 Vista I is our newest apartment complex in Skyview Ranch, Calgary. These apartments are just a 5 minute drive from the YYC International Airport and are perfect for those having to commute to Airdrie, the NE, and outside of Calgary. Vista offers 1 and 2 bedrooms suites.
 Each unit has in-suite laundry, dishwashers, microwaves, stainless steel appliances, air-conditioning, storage, window coverings, and laminate flooring. The buildings include elevators, underground parking, bicycle storage, maintenance stations, and are pet-friendly. Vista is managed with on-site professional staff whose core focus is making sure your home is safe and comfortable. Be the first to live in these brand new buildings and experience all the amenities first hand! EV chargers are available upon request.
Contact our leasing team at 403-615-7468 to schedule a viewing!
    

Location Details
     ",430647,1,0,1,-1,-1,2.0,7.0,9.0,2.0,Apartment,878,0, 1 ,2 ,1435
1,"LARGE 2 BEDROOMS WITH DEN CONDO AT TARALAKE WAY NE CALGARY - ABOUT 1000 SQ,FT.",Taradale,"Large 2 bedroom condo with den ideal for small family. The condo is an excellent condition and available with underground parking. This condo is build is very conveniently located close to bus stop and school. The condo is ready to rent, immediate possession. Please call Pravin @ (403) 616-7773 to view this condo.",124512,0,0,1,2013,2010,2.0,14.0,18.0,3.0,Condo,960,0, 2 ,2 ,1350
2,COZY 2 BEDROOM COTTAGE HOUSE WITH HUGE FENCED YARD/GARDEN,West Hillhurst,"Entire Cozy 2 Bedroom Cottage Bungalow in West Hillhurst with huge fully fenced yard & large garden plot. Approx. 800 square feet & fully reno'd with crown molding. Maple hardwood in living room & bedrooms. Each bedroom comes with its own fireplace. Brand-new kitchen with new cabinets, countertops, stove, built-in dishwasher, & fridge. Storage room with washer & natural gas dryer (low-cost to run). Original historic cast-iron claw-foot tub with shower. Modern upgraded plumbing and electrical. Covered outside deck with new carpet and built-in seating.
HUGE west-facing backyard (spectacular sunsets from deck) and completely enclosed with high-fence.
Dogs and other pets negotiable. Sorry, NO CATS.
No basement or other tenants living above, below or beside you. This lovely home is all yours to enjoy!
Please email with your full name and telephone number to setup a viewing!
This well-insulated cottage house is close to Downtown, Foothills Hospital, Children's Hospital, Bow River, Bike paths, Community Centre, Indoor Ice arena, Squash/Fitness Centre, Outside Tennis Courts, Outdoor Swimming Pool, Buses & C-trains, Schools, UofC, Jubilee, ACAD, SAIT, Kensington shopping district and other amenities.",437801,0,0,0,1947,2006,0.0,19.0,21.0,-1.0,House,800,0, 1 ,2 ,1750
3,VARSITY TOWERS NORTH WEST,Varsity,"Luxurious condo living in 8 story concrete building. The complex has 3 towers ( North, Centre and South Tower)The unit is freshly painted and new sound proof vinyl flooring is just installed. The unit has elegant master bedroom with attach bath, the den can be converted into bedroom , jacuzzi and walk in closet Th unit is fully furnished with all kitchen appliances and utensils. This unit was previously rented to executives for short stay. The complex has 24/ 7 security , indoor swimming pool, sauna, gyn , party room and the board room/library for casual meeting. This condo is available now for any prospective renter on rent to own option at attractive terms. The rent is $1850 includes all utilities on 1 year lease. To view this condo please call (403) 616-7773 immediately.",407306,0,0,0,1975,2010,22.0,15.0,21.0,-1.0,Condo,1100,1, 1.5 ,1 ,1500
4,VISTA PHASE 2,Skyview,"Join Us for Our Virtual Open House on Monday at 2:00 PM MST
Contact us for your invite and to learn about our limited time promotions!
Welcome to Phase Two Vista Apartments! Calgary's newest apartment complex located in Skyview Ranch, NE!
Vista ll is just a 5 minute drive from the YYC International Airport and are perfect for those having to commute to Airdrie, the NE, and outside of Calgary.
Each unit has in-suite laundry, dishwashers, microwaves, stainless steel appliances, air-conditioning, storage, window coverings, and laminate flooring. The buildings include elevators, underground parking, bicycle storage, maintenance stations, and are pet-friendly. Vista ll is managed with on-site professional staff whose core focus is making sure your home is safe and comfortable. Be the first to live in these brand new buildings and experience all the amenities first hand! EV chargers are available upon request.
Contact our leasing team at  403-615-7468  to schedule a viewing!
 ",430648,1,0,1,-1,-1,2.0,7.0,9.0,2.0,Apartment,678,0, 1 ,1 ,1199
4,VISTA PHASE 2,Skyview,"Join Us for Our Virtual Open House on Monday at 2:00 PM MST
Contact us for your invite and to learn about our limited time promotions!
Welcome to Phase Two Vista Apartments! Calgary's newest apartment complex located in Skyview Ranch, NE!
Vista ll is just a 5 minute drive from the YYC International Airport and are perfect for those having to commute to Airdrie, the NE, and outside of Calgary.
Each unit has in-suite laundry, dishwashers, microwaves, stainless steel appliances, air-conditioning, storage, window coverings, and laminate flooring. The buildings include elevators, underground parking, bicycle storage, maintenance stations, and are pet-friendly. Vista ll is managed with on-site professional staff whose core focus is making sure your home is safe and comfortable. Be the first to live in these brand new buildings and experience all the amenities first hand! EV chargers are available upon request.
Contact our leasing team at  403-615-7468  to schedule a viewing!
 ",430648,1,0,1,-1,-1,2.0,7.0,9.0,2.0,Apartment,981,0, 2 ,2 ,1350
4,VISTA PHASE 2,Skyview,"Join Us for Our Virtual Open House on Monday at 2:00 PM MST
Contact us for your invite and to learn about our limited time promotions!
Welcome to Phase Two Vista Apartments! Calgary's newest apartment complex located in Skyview Ranch, NE!
Vista ll is just a 5 minute drive from the YYC International Airport and are perfect for those having to commute to Airdrie, the NE, and outside of Calgary.
Each unit has in-suite laundry, dishwashers, microwaves, stainless steel appliances, air-conditioning, storage, window coverings, and laminate flooring. The buildings include elevators, underground parking, bicycle storage, maintenance stations, and are pet-friendly. Vista ll is managed with on-site professional staff whose core focus is making sure your home is safe and comfortable. Be the first to live in these brand new buildings and experience all the amenities first hand! EV chargers are available upon request.
Contact our leasing team at  403-615-7468  to schedule a viewing!
 ",430648,1,0,1,-1,-1,2.0,7.0,9.0,2.0,Apartment,676,0, 1 ,1 ,1222
