Neighbourhood,Pets,Tenant_Parking,Building_features,Property_features,Listing_Type,Sq_Feet,Baths,Beds,Rent_Monthly,Fulldescription_len
Skyview,1,1,2,7,Apartment,873,1.0,2,1433,1019
Skyview,1,1,2,7,Apartment,1015,2.0,2,1499,1019
Skyview,1,1,2,7,Apartment,946,2.0,1,1348,1019
Skyview,1,1,2,7,Apartment,878,1.0,2,1435,1019
Taradale,0,1,2,14,Condo,960,2.0,2,1350,315
West Hillhurst,0,0,0,19,House,800,1.0,2,1750,1210
Varsity,0,0,22,15,Condo,1100,1.5,1,1500,784
Skyview,1,1,2,7,Apartment,678,1.0,1,1199,985
Skyview,1,1,2,7,Apartment,981,2.0,2,1350,985
Skyview,1,1,2,7,Apartment,676,1.0,1,1222,985
Skyview,1,1,2,7,Apartment,1021,2.0,2,1488,985
Skyview,1,1,2,7,Apartment,1307,2.0,3,1707,985
Skyview,1,1,2,7,Apartment,678,1.0,1,1199,985
Arbour Lake,1,1,0,13,House,3000,3.5,6,2500,997
Parkhill-Stanley Park,1,1,1,11,Condo,1000,2.0,2,1750,912
Capitol Hill,1,1,2,12,Apartment,426,1.0,1,1010,2033
Capitol Hill,1,1,2,12,Apartment,421,1.0,1,1158,2033
Capitol Hill,1,1,2,12,Apartment,426,1.0,1,1172,2033
Capitol Hill,1,1,2,12,Apartment,426,1.0,1,1172,2033
Capitol Hill,1,1,2,12,Apartment,593,1.0,2,1275,2033
Capitol Hill,1,1,2,12,Apartment,593,1.0,2,1275,2033
Capitol Hill,1,1,2,12,Apartment,593,1.0,2,1275,2033
Capitol Hill,1,1,2,12,Apartment,593,1.0,2,1305,2033
Capitol Hill,1,1,2,12,Apartment,593,1.0,2,1394,2033
Capitol Hill,1,1,2,12,Apartment,635,1.0,2,1428,2033
Capitol Hill,1,1,2,12,Apartment,749,1.0,2,1750,2033
Altadore,0,0,1,11,Apartment,1000,1.0,2,925,606
Scarboro,1,1,0,10,House,1200,2.0,5,2050,530
Spruce Cliff,1,1,2,5,Apartment,945,1.0,2,1324,1796
Spruce Cliff,1,1,2,5,Apartment,945,1.0,2,1435,1796
Spruce Cliff,1,1,2,5,Apartment,945,1.0,2,1519,1796
Spruce Cliff,1,1,2,5,Apartment,756,1.0,1,1249,1796
Spruce Cliff,1,1,2,5,Apartment,756,1.0,1,1269,1796
Spruce Cliff,1,1,2,5,Apartment,756,1.0,1,1449,1796
Spruce Cliff,1,1,2,5,Apartment,945,1.0,2,1649,1796
University Heights,1,1,2,4,Apartment,650,1.0,1,1179,1793
University Heights,1,1,2,4,Apartment,825,1.0,2,1229,1793
University Heights,1,1,2,4,Apartment,650,1.0,1,945,1793
University Heights,1,1,2,4,Apartment,825,1.0,2,1329,1793
University Heights,1,1,2,4,Apartment,650,1.0,1,1229,1793
University Heights,1,1,2,4,Apartment,650,1.0,1,1309,1793
University Heights,1,1,2,4,Apartment,825,1.0,2,1459,1793
University Heights,1,1,2,4,Apartment,825,1.0,2,1559,1793
Beltline,1,1,0,3,Apartment,700,1.0,1,1375,1768
Beltline,1,1,0,3,Apartment,793,1.0,2,1470,1768
Rundle,0,0,0,12,Townhouse,864,1.0,2,1000,1059
Forest Lawn,0,0,0,13,Basement,600,1.0,1,950,675
Rosscarrock,1,0,0,7,Apartment,600,1.0,1,999,2948
Rosscarrock,1,0,0,7,Apartment,750,1.0,2,1125,2948
Banff Trail,0,0,0,9,Basement,1150,1.0,3,1200,547
Kelvin Grove,1,0,0,11,Apartment,620,1.0,1,1125,2848
Kelvin Grove,1,0,0,11,Apartment,842,1.0,2,1275,2848
Kelvin Grove,1,0,0,11,Apartment,842,1.0,2,1450,2848
Kelvin Grove,1,0,0,11,Apartment,864,1.0,2,950,2848
Downtown,1,1,3,6,Apartment,400,1.0,1,999,2668
Downtown,1,1,3,6,Apartment,690,1.0,2,1450,2668
Downtown,1,1,3,6,Apartment,300,1.0,2,925,2668
Brentwood,1,1,2,3,Apartment,527,1.0,1,1066,1837
Brentwood,1,1,2,3,Apartment,527,1.0,1,1121,1837
Brentwood,1,1,2,3,Apartment,657,1.0,2,1192,1837
Brentwood,1,1,2,3,Apartment,657,1.0,2,1390,1837
Brentwood,1,1,2,3,Apartment,527,1.0,1,2889,1837
Brentwood,1,1,2,3,Apartment,657,1.0,2,3249,1837
Cliff Bungalow,0,0,4,7,Apartment,864,1.0,2,1375,892
Bankview,1,0,0,5,Apartment,497,1.0,1,1125,2009
Bankview,1,0,0,5,Apartment,782,1.0,2,1100,2009
Altadore,1,0,0,7,Apartment,542,1.0,1,1125,2374
Altadore,1,0,0,7,Apartment,788,1.0,2,1219,2374
Altadore,1,0,1,12,Apartment,864,1.0,1,995,1418
Downtown,1,1,13,13,Apartment,560,1.0,1,1449,4252
Downtown,1,1,13,13,Apartment,567,1.0,1,1505,4252
Downtown,1,1,13,13,Apartment,600,1.0,1,1599,4252
Downtown,1,1,13,13,Apartment,723,1.0,1,1815,4252
Downtown,1,1,13,13,Apartment,842,2.0,2,2199,4252
Beltline,1,0,0,5,Apartment,528,1.0,1,899,2642
Beltline,1,0,0,5,Apartment,864,1.0,2,1175,2642
Bankview,1,0,0,5,Apartment,864,1.0,1,950,3092
Bankview,1,0,0,5,Apartment,864,1.0,1,1125,3092
Bankview,1,0,0,5,Apartment,864,1.0,2,1150,3092
Bankview,1,0,0,5,Apartment,864,1.0,2,1325,3092
Sunalta,1,1,0,7,Apartment,489,1.0,1,1085,2759
Sunalta,1,1,0,7,Apartment,989,1.0,2,1299,2759
Bankview,1,1,0,5,Apartment,629,1.0,1,999,2926
Kingsland,1,0,0,8,Apartment,680,1.0,1,1085,1769
Kingsland,1,0,0,8,Apartment,865,1.0,2,1190,1769
South Calgary,1,0,0,5,Apartment,550,1.0,1,925,2655
South Calgary,1,0,0,5,Apartment,550,1.0,1,1125,2655
Beltline,1,1,17,12,Condo,1085,2.0,2,1800,1388
Downtown,1,0,2,1,Apartment,864,1.0,1,1096,1526
Downtown,1,0,2,1,Apartment,646,1.0,1,1186,1526
Downtown,1,0,2,1,Apartment,796,1.0,2,1394,1526
Downtown,1,0,2,1,Apartment,861,2.0,2,1524,1526
Downtown,1,0,2,1,Apartment,872,2.0,2,1554,1526
Downtown,1,0,2,1,Apartment,1119,2.0,2,1994,1526
Downtown,1,0,2,1,Apartment,775,1.0,1,1234,1526
Bankview,1,1,0,6,Apartment,631,1.0,1,1025,3091
Bankview,1,1,0,6,Apartment,824,1.0,2,1175,3091
Bankview,1,1,0,6,Apartment,420,1.0,2,950,3091
Sunalta,0,1,0,8,Apartment,864,1.0,1,999,2965
Sunalta,0,1,0,8,Apartment,708,1.0,2,1325,2965
Connaught,1,1,9,6,Apartment,549,1.0,1,1373,1137
Connaught,1,1,9,6,Apartment,507,1.0,1,1423,1137
Connaught,1,1,9,6,Apartment,612,1.0,1,1636,1137
Connaught,1,1,9,6,Apartment,629,1.0,1,1706,1137
Connaught,1,1,9,6,Apartment,636,1.0,1,1711,1137
Connaught,1,1,9,6,Apartment,611,1.0,1,1726,1137
Connaught,1,1,9,6,Apartment,772,1.0,2,1811,1137
Connaught,1,1,9,6,Apartment,910,2.0,2,1944,1137
Connaught,1,1,9,6,Apartment,729,1.0,2,1762,1137
Downtown,1,1,8,20,Condo,900,2.0,2,1740,1168
Triwood,1,0,1,5,Apartment,608,1.0,1,1075,2321
Triwood,1,0,1,5,Apartment,741,1.0,2,1225,2321
Triwood,1,0,1,5,Apartment,864,1.0,2,845,2321
Scarboro,1,1,0,5,Apartment,519,1.0,1,999,2610
Scarboro,1,1,0,5,Apartment,335,1.0,2,875,2610
Beltline,1,1,4,7,Apartment,752,2.0,2,1650,1909
Beltline,1,1,4,7,Apartment,559,1.0,1,1250,1909
Beltline,1,1,4,7,Apartment,564,1.0,1,1250,1909
Beltline,1,1,4,7,Apartment,546,1.0,1,1300,1909
South Calgary,1,0,0,5,Apartment,464,1.0,1,850,3106
South Calgary,1,0,0,5,Apartment,837,1.0,2,1150,3106
South Calgary,1,0,0,5,Apartment,450,1.0,2,825,3106
Cougar Ridge,1,1,0,9,Apartment,612,1.0,1,1466,2217
Cougar Ridge,1,1,0,9,Apartment,622,1.0,1,1557,2217
Cougar Ridge,1,1,0,9,Apartment,848,2.0,2,1792,2217
Cougar Ridge,1,1,0,9,Apartment,976,2.0,2,2199,2217
Cougar Ridge,1,1,0,9,Apartment,539,1.0,2,1282,2217
Bowness,1,1,0,7,Apartment,595,1.0,1,999,3084
Bowness,1,1,0,7,Apartment,700,1.0,2,1125,3084
Downtown,0,1,20,10,Condo,550,1.0,1,1400,2301
Bowness,1,0,0,6,Townhouse,1314,1.0,2,1350,2260
Bowness,1,0,0,6,Townhouse,1514,1.5,3,1500,2260
Bowness,1,0,0,6,Townhouse,1714,1.5,4,1650,2260
Mount Pleasant,0,0,0,20,House,1375,1.5,2,2875,1562
Varsity,1,0,2,3,Apartment,580,1.0,1,1369,1969
Varsity,1,0,2,3,Apartment,580,1.0,1,1409,1969
Varsity,1,0,2,3,Apartment,770,1.0,1,1829,1969
Varsity,1,0,2,3,Apartment,1100,1.0,1,2019,1969
Varsity,1,0,2,3,Apartment,850,1.0,2,1699,1969
Varsity,1,0,2,3,Apartment,800,1.0,2,1569,1969
Varsity,1,0,2,3,Apartment,800,1.0,2,1789,1969
Varsity,1,0,2,3,Apartment,800,1.0,2,1879,1969
Varsity,1,0,2,3,Apartment,1030,1.5,3,1699,1969
Varsity,1,0,2,3,Apartment,1030,1.0,3,1729,1969
Varsity,1,0,2,3,Apartment,1030,1.0,3,1899,1969
